"stock_exchange_type_desc","time","count","date","stock_exchange_type"
"科创板",1674316800000,868,"2023-01-22",1
"沪市主板",1674316800000,2361,"2023-01-22",3
"深市主板",1674316800000,1195,"2023-01-22",4
"创业板",1674403200000,1060,"2023-01-23",2
"科创板",1674403200000,868,"2023-01-23",1
"沪市主板",1674403200000,2361,"2023-01-23",3
"深市主板",1674403200000,1195,"2023-01-23",4
"创业板",1674489600000,1060,"2023-01-24",2
"科创板",1674489600000,868,"2023-01-24",1
"沪市主板",1674489600000,2361,"2023-01-24",3
"深市主板",1674489600000,1195,"2023-01-24",4
"创业板",1674576000000,1060,"2023-01-25",2
"科创板",1674576000000,868,"2023-01-25",1
"沪市主板",1674576000000,2361,"2023-01-25",3
"深市主板",1674576000000,1195,"2023-01-25",4
"创业板",1674662400000,1060,"2023-01-26",2
"科创板",1674662400000,868,"2023-01-26",1
"沪市主板",1674662400000,2361,"2023-01-26",3
"深市主板",1674662400000,1195,"2023-01-26",4
"创业板",1674748800000,1060,"2023-01-27",2
"科创板",1674748800000,868,"2023-01-27",1
"沪市主板",1674748800000,2361,"2023-01-27",3
"深市主板",1674748800000,1195,"2023-01-27",4
"创业板",1674835200000,1060,"2023-01-28",2
"科创板",1674835200000,868,"2023-01-28",1
"沪市主板",1674835200000,2361,"2023-01-28",3
"深市主板",1674835200000,1195,"2023-01-28",4
"创业板",1674921600000,1060,"2023-01-29",2
"科创板",1674921600000,868,"2023-01-29",1
"沪市主板",1674921600000,2365,"2023-01-29",3
"深市主板",1674921600000,1204,"2023-01-29",4
"创业板",1675008000000,1060,"2023-01-30",2
"科创板",1675008000000,868,"2023-01-30",1
"沪市主板",1675008000000,2365,"2023-01-30",3
"深市主板",1675008000000,1204,"2023-01-30",4
"创业板",1675094400000,1060,"2023-01-31",2
"科创板",1675094400000,868,"2023-01-31",1
"沪市主板",1675094400000,2365,"2023-01-31",3
"深市主板",1675094400000,1204,"2023-01-31",4
"创业板",1675180800000,1061,"2023-02-01",2
"科创板",1675180800000,868,"2023-02-01",1
"沪市主板",1675180800000,2365,"2023-02-01",3
"深市主板",1675180800000,1204,"2023-02-01",4
"创业板",1675267200000,1061,"2023-02-02",2
"科创板",1675267200000,868,"2023-02-02",1
"沪市主板",1675267200000,2365,"2023-02-02",3
"深市主板",1675267200000,1204,"2023-02-02",4
"创业板",1675353600000,1061,"2023-02-03",2
"科创板",1675353600000,868,"2023-02-03",1
"沪市主板",1675353600000,2365,"2023-02-03",3
"深市主板",1675353600000,1204,"2023-02-03",4
"创业板",1675612800000,1061,"2023-02-06",2
"科创板",1675612800000,869,"2023-02-06",1
"沪市主板",1675612800000,2365,"2023-02-06",3
"深市主板",1675612800000,1204,"2023-02-06",4
"创业板",1675699200000,1061,"2023-02-07",2
"科创板",1675699200000,869,"2023-02-07",1
"沪市主板",1675699200000,2365,"2023-02-07",3
"深市主板",1675699200000,1204,"2023-02-07",4
"创业板",1675785600000,1061,"2023-02-08",2
"科创板",1675785600000,869,"2023-02-08",1
"创业板",1675872000000,1061,"2023-02-09",2
"科创板",1675872000000,869,"2023-02-09",1
"沪市主板",1675872000000,2376,"2023-02-09",3
"深市主板",1675872000000,1210,"2023-02-09",4
"创业板",1675958400000,1061,"2023-02-10",2
"科创板",1675958400000,869,"2023-02-10",1
"沪市主板",1675958400000,2376,"2023-02-10",3
"深市主板",1675958400000,1210,"2023-02-10",4
"创业板",1676044800000,1061,"2023-02-11",2
"科创板",1676044800000,869,"2023-02-11",1
"沪市主板",1676044800000,2380,"2023-02-11",3
"深市主板",1676044800000,1214,"2023-02-11",4
"创业板",1676131200000,1061,"2023-02-12",2
"科创板",1676131200000,869,"2023-02-12",1
"沪市主板",1676131200000,2380,"2023-02-12",3
"深市主板",1676131200000,1214,"2023-02-12",4
"创业板",1676217600000,1061,"2023-02-13",2
"科创板",1676217600000,869,"2023-02-13",1
"沪市主板",1676217600000,2380,"2023-02-13",3
"深市主板",1676217600000,1214,"2023-02-13",4
"创业板",1676304000000,1061,"2023-02-14",2
"科创板",1676304000000,869,"2023-02-14",1
"沪市主板",1676304000000,2380,"2023-02-14",3
"深市主板",1676304000000,1214,"2023-02-14",4
"创业板",1676390400000,1061,"2023-02-15",2
"科创板",1676390400000,869,"2023-02-15",1
"沪市主板",1676390400000,2380,"2023-02-15",3
"深市主板",1676390400000,1214,"2023-02-15",4
"沪市主板",1679068800000,3241,"2023-03-18",3
"深市主板",1679068800000,1850,"2023-03-18",4
